date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-24 23:52:18,JosephSaddik,,0,1,1,"Coronavirus au Burkina: la ruée vers la chloroquine! #raoult #chloroquine #covid19 #Covid_19fr #macron #buzyn",,,#raoult #chloroquine #covid19 #Covid_19fr #macron #buzyn,1242600158791184390,https://twitter.com/JosephSaddik/status/1242600158791184390
2020-03-24 23:52:18,callmenigma,hausofmills,0,12,8,"coronavírus eu entrego nas tuas mãos ",,,,1242600158694723585,https://twitter.com/callmenigma/status/1242600158694723585
2020-03-24 23:52:18,PJaxParker,,1,0,0,"The drug, called Interferon Alpha-2B Recombinant (IFNrec), is jointly developed by scientists from Cuba and China, where the coronavirus COVID-19 disease outbreak first emerged late last year. Already active in China since January, the Cuban Medical Brigades began deploying to",,,,1242600158686253061,https://twitter.com/PJaxParker/status/1242600158686253061
2020-03-24 23:52:18,fluidservices,,0,0,0,"Nextdoor adds Help Maps and Groups to connect neighbors during the coronavirus outbreak ",,,,1242600158510100480,https://twitter.com/fluidservices/status/1242600158510100480
2020-03-24 23:52:18,scott_lycette,,0,0,0,"La naturaleza salvaje reconquista la ciudad por el coronavirus ",,,,1242600158325547012,https://twitter.com/scott_lycette/status/1242600158325547012
2020-03-24 23:52:18,EgoneGin,,0,0,1,"#DearFamiliar We can’t control others we can only control ourselves. Unfortunately others play a role until they no longer do. This virus is uncharted. All one can do is maintain precaution and not let ego dictate. What is money when one is dead? Stay Healthy! #coronavirus",,,#DearFamiliar #coronavirus,1242600158317215756,https://twitter.com/EgoneGin/status/1242600158317215756
2020-03-24 23:52:18,frijolgris,Andres_dha,1,0,2,"mae es que ud entiende tener un pichazo de monedas, morirse y yendo a matar al espíritu para recuperar todo otra vez, caerse en alguna estupidez y hacerse picha y perderlo todo. Me va a matar esto antes que el coronavirus",,,,1242600157797142528,https://twitter.com/frijolgris/status/1242600157797142528
2020-03-24 23:52:18,Gonsalves765,,1,0,5,"1820 - Febre amarela 1920 - Gripe espanhola 2020 - Corona vírus Ué",,,,1242600157780357122,https://twitter.com/Gonsalves765/status/1242600157780357122
2020-03-24 23:52:18,Russellhaley9,,0,0,0,"Hillary Clinton Responds to Coronavirus by Urging People To Ignore Trump's Guidance #Topbuzz",,,#Topbuzz,1242600157641945088,https://twitter.com/Russellhaley9/status/1242600157641945088
2020-03-24 23:52:18,NancyMace,,0,3,12,"Please join me tomorrow morning on Facebook LIVE at 11:30am EDT to talk with Jamie Suber, SCDEW Interim Chief Administrative Officer, to answer your questions regarding unemployment. If you have a question you’d like answered, please comment below: #COVID19 #Coronavirus #SCtweets",,,#COVID19 #Coronavirus #SCtweets,1242600157641871363,https://twitter.com/NancyMace/status/1242600157641871363
